ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
03A,2012,Jan,185941.0,9791.0,184595.21000000002,18.85356041262384
03C,2012,Jan,291181.0,12123.0,239697.01999999993,19.772087767054355
03D,2012,Jan,115576.0,5882.0,113557.62999999999,19.30595545732744
03E,2012,Jan,130748.0,5802.0,107811.29000000001,18.581745949672527
03F,2012,Jan,226105.0,12574.0,231401.97999999986,18.4032113885796
03G,2012,Jan,198646.0,11317.0,219962.09,19.436431032959266
03H,2012,Jan,131600.0,8080.0,154191.62,19.083121287128712
03J,2012,Jan,141150.0,8899.0,184446.08000000005,20.72660748398697
03K,2012,Jan,133511.0,8430.0,170587.68000000002,20.23578647686833
03L,2012,Jan,202117.0,12042.0,245094.31999999995,20.35329015113768
03M,2012,Jan,97630.0,5068.0,97042.69,19.148123520126283
03N,2012,Jan,448552.0,25323.0,443427.4500000001,17.51085771827983
03Q,2012,Jan,277850.0,13002.0,226931.24000000002,17.45356406706661
03R,2012,Jan,283387.0,16918.0,312558.49999999994,18.47490838160539
03T,2012,Jan,199805.0,14784.0,293440.62,19.848526785714284
03V,2012,Jan,40408.0,2119.0,51272.39999999999,24.19650778669183
03W,2012,Jan,254405.0,13555.0,282725.89,20.857682773884175
03X,2012,Jan,79014.0,4601.0,71314.45,15.499771788741578
03Y,2012,Jan,83276.0,5924.0,99185.69,16.74302667116813
04C,2012,Jan,283732.0,19958.0,424310.11999999976,21.260152319871718
04D,2012,Jan,180787.0,10219.0,188265.59,18.423093257657303
04E,2012,Jan,147551.0,8714.0,159740.02000000002,18.33142299747533
04F,2012,Jan,201834.0,9533.0,198726.17999999993,20.84613238225112
04G,2012,Jan,492344.0,26742.0,503799.2000000003,18.83924912123253
04H,2012,Jan,103252.0,5563.0,111252.23,19.998603271616034
04J,2012,Jan,236688.0,14307.0,218271.18,15.256250786328371
04K,2012,Jan,271805.0,13328.0,217856.55000000002,16.34577956182473
04L,2012,Jan,115117.0,6674.0,111080.87,16.643822295474976
04M,2012,Jan,76516.0,4178.0,67728.64,16.210780277644805
04N,2012,Jan,98578.0,4373.0,76142.25,17.41190258403842
04Q,2012,Jan,104115.0,5897.0,117788.48999999998,19.974307274885533
04R,2012,Jan,413961.0,25607.0,386916.0299999998,15.109775842543046
04V,2012,Jan,292840.0,16174.0,321953.9199999999,19.905646098676883
04X,2012,Jan,185324.0,12671.0,288116.65,22.73827243311499
04Y,2012,Jan,102246.0,6120.0,145434.18,23.763754901960784
05A,2012,Jan,360985.0,19750.0,402101.08999999985,20.359548860759485
05C,2012,Jan,250159.0,14779.0,305799.7700000001,20.69150619121727
